embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
vggish,cello,irmas,irmas,0.2962962962962963,0.851063829787234,0.4395604395604395,94.0,0.8775510204081632,0.9233528233447024,0.624635952365295
vggish,clarinet,irmas,irmas,0.2941176470588235,0.7874015748031497,0.4282655246252677,127.0,0.8397358943577431,0.882462791566259,0.537832677614925
vggish,flute,irmas,irmas,0.3082191780821918,0.743801652892562,0.4358353510895884,121.0,0.8601440576230492,0.8910160742464361,0.613346449765259
vggish,guitar,irmas,irmas,0.6627906976744186,0.8236994219653179,0.7345360824742267,346.0,0.8763505402160864,0.9342507444386056,0.8262820600662437
vggish,organ,irmas,irmas,0.5098684210526315,0.8908045977011494,0.6485355648535565,174.0,0.8991596638655462,0.9569312193769066,0.7064582910098088
vggish,piano,irmas,irmas,0.6412556053811659,0.8411764705882353,0.727735368956743,170.0,0.9357743097238896,0.9516750550487576,0.8338910526321459
vggish,saxophone,irmas,irmas,0.2822966507177033,0.7866666666666666,0.4154929577464788,150.0,0.8007202881152461,0.869415127528584,0.5447591572239163
vggish,trumpet,irmas,irmas,0.3573770491803278,0.7266666666666667,0.4791208791208791,150.0,0.8577430972388955,0.9007299912049253,0.6434725884169796
vggish,violin,irmas,irmas,0.2840909090909091,0.6993006993006993,0.4040404040404041,143.0,0.8229291716686674,0.8408643228078554,0.4774926010541833
vggish,voice,irmas,irmas,0.777292576419214,0.9319371727748692,0.8476190476190477,191.0,0.9615846338535414,0.98613186618156,0.92520418237649
vggish,cello,openmic,openmic,0.7370517928286853,0.8185840707964602,0.7756813417190777,226.0,0.7793814432989691,0.8657190692588923,0.8203400858515604
vggish,clarinet,openmic,openmic,0.3579335793357933,0.708029197080292,0.4754901960784314,137.0,0.665625,0.7501559983166693,0.4340835145092015
vggish,flute,openmic,openmic,0.4980694980694981,0.7371428571428571,0.5944700460829493,175.0,0.6868327402135231,0.7947729789590254,0.6604143159790894
vggish,guitar,openmic,openmic,0.9479166666666666,0.9545454545454546,0.951219512195122,286.0,0.9357798165137616,0.9814219114219114,0.9906323988122354
vggish,organ,openmic,openmic,0.5241935483870968,0.5371900826446281,0.5306122448979592,121.0,0.7331786542923434,0.7888296454278859,0.563817234359567
vggish,piano,openmic,openmic,0.9355932203389832,0.968421052631579,0.9517241379310344,285.0,0.9325301204819276,0.9603778677462887,0.9780068822540136
vggish,saxophone,openmic,openmic,0.7932098765432098,0.8426229508196721,0.8171701112877583,305.0,0.8171701112877583,0.8985630439182352,0.888938178948945
vggish,trumpet,openmic,openmic,0.7094017094017094,0.7830188679245284,0.7443946188340809,318.0,0.7821656050955414,0.8574939733074757,0.7851133322992516
vggish,violin,openmic,openmic,0.8801089918256131,0.8197969543147208,0.8488830486202366,394.0,0.8177496038034865,0.9121634646276424,0.9356780910647606
vggish,voice,openmic,openmic,0.9375,0.8705357142857143,0.9027777777777778,224.0,0.8877005347593583,0.9579464285714284,0.9696349409831576
vggish,cello,irmas,openmic,0.6200873362445415,0.6283185840707964,0.6241758241758242,226.0,0.6474226804123712,0.7021730959784057,0.6102133532809741
vggish,clarinet,irmas,openmic,0.3125,0.437956204379562,0.364741641337386,137.0,0.6734375,0.659169073152327,0.3225575519405508
vggish,flute,irmas,openmic,0.437956204379562,0.6857142857142857,0.5345211581291759,175.0,0.6281138790035588,0.7134736064968623,0.569378341649695
vggish,guitar,irmas,openmic,0.9520295202952028,0.902097902097902,0.926391382405745,286.0,0.9059633027522936,0.9627272727272728,0.9775404918478384
vggish,organ,irmas,openmic,0.3712871287128713,0.6198347107438017,0.4643962848297214,121.0,0.5986078886310905,0.6576912823247134,0.3795255913220477
vggish,piano,irmas,openmic,0.942652329749104,0.9228070175438596,0.9326241134751772,285.0,0.908433734939759,0.966288798920378,0.984806248341474
vggish,saxophone,irmas,openmic,0.717687074829932,0.6918032786885245,0.7045075125208681,305.0,0.7186009538950715,0.7855191256830601,0.7421718890628628
vggish,trumpet,irmas,openmic,0.6290909090909091,0.5440251572327044,0.5834738617200674,318.0,0.6853503184713375,0.7306506134432279,0.6295180336195108
vggish,violin,irmas,openmic,0.8053333333333333,0.766497461928934,0.7854356306892067,394.0,0.7385103011093502,0.7935595108055431,0.8486894450803888
vggish,voice,irmas,openmic,0.9408602150537636,0.78125,0.853658536585366,224.0,0.839572192513369,0.9584821428571428,0.9687870377521208
vggish,cello,openmic,irmas,0.1298932384341637,0.776595744680851,0.2225609756097561,94.0,0.6938775510204082,0.8208001732445455,0.3619137071437168
vggish,clarinet,openmic,irmas,0.1752066115702479,0.8346456692913385,0.2896174863387978,127.0,0.687875150060024,0.8466894854517454,0.4297674706772164
vggish,flute,openmic,irmas,0.1120689655172413,0.859504132231405,0.1982840800762631,121.0,0.4951980792316927,0.7743828398726897,0.3252151161378659
vggish,guitar,openmic,irmas,0.3604806408544726,0.7803468208092486,0.4931506849315067,346.0,0.6668667466986795,0.7943597827990893,0.5797234155482258
vggish,organ,openmic,irmas,0.2138728323699422,0.2126436781609195,0.2132564841498559,174.0,0.8361344537815126,0.6847169578749499,0.1878560956641224
vggish,piano,openmic,irmas,0.2315270935960591,0.8294117647058824,0.362002567394095,170.0,0.7016806722689075,0.8359429065743945,0.4413012684750542
vggish,saxophone,openmic,irmas,0.1915887850467289,0.82,0.3106060606060606,150.0,0.6722689075630253,0.820325417766051,0.3732551613408865
vggish,trumpet,openmic,irmas,0.2016666666666666,0.8066666666666666,0.3226666666666666,150.0,0.695078031212485,0.8431442392260335,0.4786202454942471
vggish,violin,openmic,irmas,0.1782682512733446,0.7342657342657343,0.2868852459016393,143.0,0.6866746698679472,0.7776747218638222,0.3250702967536568
vggish,voice,openmic,irmas,0.3755020080321285,0.9790575916230366,0.5428156748911466,191.0,0.8109243697478992,0.9756926080397552,0.8501028139103312
openl3,cello,irmas,irmas,0.5472972972972973,0.8617021276595744,0.6694214876033058,94.0,0.9519807923169268,0.96705646689405,0.7771970896084619
openl3,clarinet,irmas,irmas,0.4549763033175355,0.7559055118110236,0.5680473372781064,127.0,0.9123649459783914,0.919684016106174,0.7006386227336978
openl3,flute,irmas,irmas,0.4082568807339449,0.7355371900826446,0.5250737463126843,121.0,0.9033613445378152,0.914001444275054,0.5972050006877833
openl3,guitar,irmas,irmas,0.7139479905437353,0.8728323699421965,0.7854356306892067,346.0,0.9009603841536614,0.9628656507269224,0.8709758128101839
openl3,organ,irmas,irmas,0.7616822429906542,0.9367816091954024,0.8402061855670103,174.0,0.9627851140456184,0.9895958522079442,0.9066428758664824
openl3,piano,irmas,irmas,0.8142076502732241,0.8764705882352941,0.8441926345609065,170.0,0.9669867947178872,0.9823765335011008,0.9327530887251884
openl3,saxophone,irmas,irmas,0.2853403141361256,0.7266666666666667,0.4097744360902256,150.0,0.8115246098439376,0.8612708883025506,0.4793450735678315
openl3,trumpet,irmas,irmas,0.589622641509434,0.8333333333333334,0.6906077348066298,150.0,0.9327731092436976,0.9505145118733508,0.784530520755223
openl3,violin,irmas,irmas,0.3597359735973597,0.7622377622377622,0.4887892376681615,143.0,0.8631452581032413,0.898723076004757,0.5364919793949828
openl3,voice,irmas,irmas,0.8387096774193549,0.9528795811518324,0.8921568627450981,191.0,0.9735894357743096,0.9946224154760848,0.9663046139277272
openl3,cello,openmic,openmic,0.7682403433476395,0.7920353982300885,0.7799564270152506,226.0,0.7917525773195876,0.8930194416920081,0.8667656956778637
openl3,clarinet,openmic,openmic,0.375,0.7007299270072993,0.4885496183206106,137.0,0.6859375,0.7644497975649751,0.4385177611501066
openl3,flute,openmic,openmic,0.50187265917603,0.7657142857142857,0.6063348416289593,175.0,0.6903914590747331,0.7820598006644518,0.6322091431969055
openl3,guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9892307692307692,0.9943208889293248
openl3,organ,openmic,openmic,0.5735294117647058,0.6446280991735537,0.6070038910505837,121.0,0.765661252900232,0.8347374033591042,0.6061602186690125
openl3,piano,openmic,openmic,0.9484536082474226,0.968421052631579,0.9583333333333331,285.0,0.9421686746987952,0.9819973009446694,0.9908661861864768
