embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
vggish,cello,irmas,irmas,0.2962962962962963,0.851063829787234,0.4395604395604395,94.0,0.8775510204081632,0.9248957825780952,0.6237308463757245
vggish,clarinet,irmas,irmas,0.3024691358024691,0.7716535433070866,0.4345898004434589,127.0,0.8469387755102041,0.8799353297212118,0.5344711812094215
vggish,flute,irmas,irmas,0.3097643097643097,0.7603305785123967,0.4401913875598086,121.0,0.8595438175270108,0.8919789242825429,0.6126649987664763
vggish,guitar,irmas,irmas,0.662004662004662,0.8208092485549133,0.7329032258064516,346.0,0.8757503001200481,0.934090909090909,0.8252657821486874
vggish,organ,irmas,irmas,0.5064935064935064,0.896551724137931,0.6473029045643153,174.0,0.8979591836734694,0.956881143878463,0.7063179599774696
vggish,piano,irmas,irmas,0.6559633027522935,0.8411764705882353,0.7371134020618557,170.0,0.9387755102040816,0.9518991821327462,0.8348971110415973
vggish,saxophone,irmas,irmas,0.2805755395683453,0.78,0.4126984126984127,150.0,0.8001200480192077,0.8690677220756375,0.5463107168889271
vggish,trumpet,irmas,irmas,0.3580645161290323,0.74,0.4826086956521739,150.0,0.8571428571428571,0.902014072119613,0.6466944544585069
vggish,violin,irmas,irmas,0.276536312849162,0.6923076923076923,0.3952095808383233,143.0,0.8181272509003601,0.8418056008338346,0.477379221681614
vggish,voice,irmas,irmas,0.7763157894736842,0.9267015706806284,0.8448687350835321,191.0,0.960984393757503,0.9863093442186528,0.9252207348378568
vggish,cello,openmic,openmic,0.7370517928286853,0.8185840707964602,0.7756813417190777,226.0,0.7793814432989691,0.8660436669286227,0.8197678361383489
vggish,clarinet,openmic,openmic,0.3619402985074627,0.708029197080292,0.4790123456790122,137.0,0.6703125,0.7486903397135436,0.4370945922419799
vggish,flute,openmic,openmic,0.4980694980694981,0.7371428571428571,0.5944700460829493,175.0,0.6868327402135231,0.7954669619785899,0.6607092980141359
vggish,guitar,openmic,openmic,0.951048951048951,0.951048951048951,0.951048951048951,286.0,0.9357798165137616,0.9800932400932402,0.9897940890925307
vggish,organ,openmic,openmic,0.5354330708661418,0.5619834710743802,0.5483870967741936,121.0,0.740139211136891,0.790615835777126,0.5649730408265708
