,embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
0,vggish,cello,irmas,irmas,0.2967032967032967,0.8617021276595744,0.44141689373297,94.0,0.8769507803121248,0.9244288343890422,0.6131411554680469
1,vggish,clarinet,irmas,irmas,0.3024691358024691,0.7716535433070866,0.4345898004434589,127.0,0.8469387755102041,0.8799302134016874,0.5344088867810352
2,vggish,flute,irmas,irmas,0.3097643097643097,0.7603305785123967,0.4401913875598086,121.0,0.8595438175270108,0.8919789242825429,0.6126649987664763
3,vggish,guitar,irmas,irmas,0.662004662004662,0.8208092485549133,0.7329032258064516,346.0,0.8757503001200481,0.934090909090909,0.8252670310025638
4,vggish,organ,irmas,irmas,0.5064935064935064,0.896551724137931,0.6473029045643153,174.0,0.8979591836734694,0.956881143878463,0.7063179599774696
5,vggish,piano,irmas,irmas,0.6559633027522935,0.8411764705882353,0.7371134020618557,170.0,0.9387755102040816,0.951899182132746,0.8348971110415973
6,vggish,saxophone,irmas,irmas,0.2805755395683453,0.78,0.4126984126984127,150.0,0.8001200480192077,0.8690633245382586,0.5462736813018031
7,vggish,trumpet,irmas,irmas,0.3580645161290323,0.74,0.4826086956521739,150.0,0.8571428571428571,0.9020052770448548,0.6465043725910061
8,vggish,violin,irmas,irmas,0.2805555555555555,0.7062937062937062,0.4015904572564612,143.0,0.819327731092437,0.8409194220093761,0.4739249928994969
9,vggish,voice,irmas,irmas,0.7763157894736842,0.9267015706806284,0.8448687350835321,191.0,0.960984393757503,0.9863093442186528,0.9252207348378568
10,vggish,cello,openmic,openmic,0.7370517928286853,0.8185840707964602,0.7756813417190777,226.0,0.7793814432989691,0.8660265828407422,0.8197534699735403
11,vggish,clarinet,openmic,openmic,0.358974358974359,0.7153284671532847,0.4780487804878048,137.0,0.665625,0.7472682155243721,0.4361169279858186
12,vggish,flute,openmic,openmic,0.4980694980694981,0.7371428571428571,0.5944700460829493,175.0,0.6868327402135231,0.795437430786268,0.6606671966914014
13,vggish,guitar,openmic,openmic,0.951048951048951,0.951048951048951,0.951048951048951,286.0,0.9357798165137616,0.9800932400932402,0.9897940890925307
14,vggish,organ,openmic,openmic,0.5354330708661418,0.5619834710743802,0.5483870967741936,121.0,0.740139211136891,0.790535857104772,0.5648433522447002
15,vggish,piano,openmic,openmic,0.9324324324324323,0.968421052631579,0.9500860585197936,285.0,0.9301204819277108,0.9608367071524966,0.9784202454717572
