instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.30708661417322836,0.8297872340425532,0.44827586206896547,94.0,0.8847539015606243,0.9404404201180229,0.6402404831238548,vggish-klda
clarinet,irmas,irmas,0.35315985130111527,0.7480314960629921,0.47979797979797983,127.0,0.8763505402160864,0.90114759046932,0.6244923169207082,vggish-klda
flute,irmas,irmas,0.3442028985507246,0.7851239669421488,0.4785894206549119,121.0,0.8757503001200481,0.910604723314344,0.649607381503537,vggish-klda
guitar,irmas,irmas,0.6792452830188679,0.8323699421965318,0.7480519480519481,346.0,0.8835534213685474,0.9450823261516902,0.851282502288887,vggish-klda
organ,irmas,irmas,0.5369127516778524,0.9195402298850575,0.6779661016949153,174.0,0.9087635054021609,0.9700124803549969,0.7797321332416165,vggish-klda
piano,irmas,irmas,0.7073170731707317,0.8529411764705882,0.7733333333333334,170.0,0.9489795918367347,0.9605693614344133,0.8476780912802196,vggish-klda
saxophone,irmas,irmas,0.3465045592705167,0.76,0.47599164926931103,150.0,0.8493397358943577,0.8932893579595427,0.6162002278283037,vggish-klda
trumpet,irmas,irmas,0.4051094890510949,0.74,0.5235849056603773,150.0,0.8787515006002401,0.8781706244503078,0.6431882051188613,vggish-klda
violin,irmas,irmas,0.35424354243542433,0.6713286713286714,0.46376811594202894,143.0,0.8667466986794717,0.8745069769363925,0.5718550192418697,vggish-klda
voice,irmas,irmas,0.8564593301435407,0.93717277486911,0.895,191.0,0.9747899159663865,0.988087674150324,0.9386303450061438,vggish-klda
cello,openmic,openmic,0.7738095238095238,0.8628318584070797,0.8158995815899581,226.0,0.8185567010309278,0.8895855400280179,0.8490094307388136,vggish-klda
clarinet,openmic,openmic,0.3602941176470588,0.7153284671532847,0.4792176039119804,137.0,0.6671875,0.7670183279882749,0.47610391916371714,vggish-klda
flute,openmic,openmic,0.5057034220532319,0.76,0.6073059360730594,175.0,0.693950177935943,0.8095533407161314,0.6719441263564636,vggish-klda
