instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.30223880597014924,0.8617021276595744,0.4475138121546961,94.0,0.879951980792317,0.9396080342157977,0.5922021349589592,vggish
clarinet,irmas,irmas,0.24429223744292236,0.84251968503937,0.3787610619469027,127.0,0.7893157262905162,0.8945321893242877,0.5483587715419928,vggish
flute,irmas,irmas,0.3230240549828179,0.7768595041322314,0.4563106796116505,121.0,0.865546218487395,0.9072721923560407,0.6279013262077799,vggish
guitar,irmas,irmas,0.5902335456475584,0.8034682080924855,0.6805385556915545,346.0,0.8433373349339736,0.914453056577334,0.7957172213344217,vggish
organ,irmas,irmas,0.4219948849104859,0.9482758620689655,0.584070796460177,174.0,0.8589435774309724,0.9635758528242581,0.7474407674100789,vggish
piano,irmas,irmas,0.5535055350553506,0.8823529411764706,0.6802721088435374,170.0,0.9153661464585834,0.956704152249135,0.8197269024203878,vggish
saxophone,irmas,irmas,0.2770780856423174,0.7333333333333333,0.4021937842778794,150.0,0.8037214885954381,0.8505980650835533,0.47599248137084854,vggish
trumpet,irmas,irmas,0.3843537414965986,0.7533333333333333,0.5090090090090089,150.0,0.8691476590636255,0.8912269129287601,0.6564207791258165,vggish
violin,irmas,irmas,0.2572944297082228,0.6783216783216783,0.3730769230769231,143.0,0.8043217286914766,0.8577843692748486,0.469318123546964,vggish
voice,irmas,irmas,0.6081081081081081,0.9424083769633508,0.7392197125256673,191.0,0.9237695078031213,0.981251220161505,0.9128582810739074,vggish
cello,irmas,openmic,0.7132352941176471,0.8508771929824561,0.776,114.0,0.7431192660550459,0.8107287449392713,0.7997333002658203,vggish
clarinet,irmas,openmic,0.35507246376811596,0.6712328767123288,0.46445497630331756,73.0,0.6401273885350318,0.6861251634172683,0.35709266898745395,vggish
flute,irmas,openmic,0.416,0.7222222222222222,0.5279187817258882,72.0,0.6234817813765182,0.7115079365079364,0.555904710774452,vggish
guitar,irmas,openmic,0.9661016949152542,0.9447513812154696,0.9553072625698323,181.0,0.937007874015748,0.969499735109362,0.9865692213698811,vggish
organ,irmas,openmic,0.4358974358974359,0.6666666666666666,0.5271317829457364,51.0,0.6720430107526881,0.7186637618010167,0.49139220956299473,vggish
piano,irmas,openmic,0.8768472906403941,0.956989247311828,0.9151670951156813,186.0,0.8690476190476191,0.9345063538611925,0.9766848707422773,vggish
saxophone,irmas,openmic,0.783068783068783,0.7014218009478673,0.74,211.0,0.7305699481865285,0.8145971563981041,0.8047766423961904,vggish
trumpet,irmas,openmic,0.7,0.6538461538461539,0.6761363636363635,182.0,0.71571072319202,0.805785538662251,0.7660195880817344,vggish
violin,irmas,openmic,0.8858447488584474,0.8326180257510729,0.8584070796460177,233.0,0.8128654970760234,0.8754971059573965,0.9252330991883859,vggish
voice,irmas,openmic,0.9230769230769231,0.9230769230769231,0.9230769230769231,117.0,0.9052631578947369,0.9617140850017563,0.9754161632229792,vggish
cello,openmic,openmic,0.7933884297520661,0.8421052631578947,0.8170212765957447,114.0,0.8027522935779816,0.8908569500674763,0.8767465621685859,vggish
clarinet,openmic,openmic,0.35172413793103446,0.6986301369863014,0.4678899082568807,73.0,0.6305732484076433,0.7081793895299267,0.3752578840270104,vggish
flute,openmic,openmic,0.425,0.7083333333333334,0.53125,72.0,0.6356275303643725,0.7441269841269841,0.5708830001793953,vggish
guitar,openmic,openmic,0.9886363636363636,0.9613259668508287,0.9747899159663865,181.0,0.9645669291338582,0.9902368879134186,0.9960908324623026,vggish
organ,openmic,openmic,0.6129032258064516,0.37254901960784315,0.46341463414634143,51.0,0.7634408602150538,0.8162672476397966,0.6092165067160518,vggish
